# field[T]	exp	pyd	dopa
6.40900	5.385300E-01	1.142303E-01	3.760385E-01
6.40910	5.344600E-01	1.170910E-01	3.733797E-01
6.40920	5.333900E-01	1.198214E-01	3.707757E-01
6.40930	5.289900E-01	1.224104E-01	3.682247E-01
6.40940	5.189300E-01	1.248520E-01	3.657246E-01
6.40950	5.170900E-01	1.271390E-01	3.632738E-01
6.40960	5.068500E-01	1.292584E-01	3.608706E-01
6.40970	4.977700E-01	1.311904E-01	3.585134E-01
6.40980	4.868700E-01	1.329122E-01	3.562006E-01
6.40990	4.804800E-01	1.344010E-01	3.539309E-01
6.41000	4.724000E-01	1.356365E-01	3.517027E-01
6.41010	4.646500E-01	1.366041E-01	3.495148E-01
6.41020	4.594400E-01	1.372959E-01	3.473658E-01
6.41030	4.582400E-01	1.377038E-01	3.452546E-01
6.41040	4.509500E-01	1.378122E-01	3.431799E-01
6.41050	4.461800E-01	1.376000E-01	3.411405E-01
6.41060	4.419600E-01	1.370548E-01	3.391354E-01
6.41070	4.347400E-01	1.361868E-01	3.371635E-01
6.41080	4.312400E-01	1.350294E-01	3.352237E-01
6.41090	4.265400E-01	1.336257E-01	3.333151E-01
6.41100	4.234100E-01	1.320119E-01	3.314366E-01
6.41110	4.153200E-01	1.302035E-01	3.295875E-01
6.41120	4.129300E-01	1.281914E-01	3.277668E-01
6.41130	4.119000E-01	1.259513E-01	3.259737E-01
6.41140	4.030900E-01	1.234644E-01	3.242073E-01
6.41150	4.037200E-01	1.207372E-01	3.224668E-01
6.41160	3.978800E-01	1.178054E-01	3.207515E-01
6.41170	3.921800E-01	1.147256E-01	3.190606E-01
6.41180	3.918000E-01	1.115662E-01	3.173932E-01
6.41190	3.883100E-01	1.084018E-01	3.157485E-01
6.41200	3.855900E-01	1.053066E-01	3.141258E-01
6.41210	3.836500E-01	1.023446E-01	3.125244E-01
6.41220	3.799200E-01	9.956096E-02	3.109434E-01
6.41230	3.748100E-01	9.698169E-02	3.093822E-01
6.41240	3.687600E-01	9.462026E-02	3.078400E-01
6.41250	3.702700E-01	9.248201E-02	3.063163E-01
6.41260	3.646700E-01	9.056489E-02	3.048102E-01
6.41270	3.597700E-01	8.885946E-02	3.033212E-01
6.41280	3.626800E-01	8.735110E-02	3.018485E-01
6.41290	3.588800E-01	8.602342E-02	3.003914E-01
6.41300	3.551500E-01	8.486005E-02	2.989490E-01
6.41310	3.524800E-01	8.384434E-02	2.975205E-01
6.41320	3.503800E-01	8.295844E-02	2.961051E-01
6.41330	3.507700E-01	8.218330E-02	2.947019E-01
6.41340	3.495800E-01	8.149987E-02	2.933098E-01
6.41350	3.472200E-01	8.089087E-02	2.919279E-01
6.41360	3.484200E-01	8.034220E-02	2.905552E-01
6.41370	3.476500E-01	7.984325E-02	2.891905E-01
6.41380	3.467300E-01	7.938568E-02	2.878325E-01
6.41390	3.491000E-01	7.896090E-02	2.864797E-01
6.41400	3.433900E-01	7.855747E-02	2.851305E-01
6.41410	3.385300E-01	7.815992E-02	2.837831E-01
6.41420	3.363900E-01	7.774989E-02	2.824352E-01
6.41430	3.327700E-01	7.730885E-02	2.810841E-01
6.41440	3.363700E-01	7.682029E-02	2.797268E-01
6.41450	3.278400E-01	7.627015E-02	2.783594E-01
6.41460	3.314000E-01	7.564657E-02	2.769770E-01
6.41470	3.259800E-01	7.494123E-02	2.755733E-01
6.41480	3.245900E-01	7.415325E-02	2.741396E-01
6.41490	3.240600E-01	7.329340E-02	2.726639E-01
6.41500	3.176800E-01	7.238461E-02	2.711288E-01
6.41510	3.203100E-01	7.145563E-02	2.695088E-01
6.41520	3.153100E-01	7.052735E-02	2.677660E-01
6.41530	3.140500E-01	6.959481E-02	2.658441E-01
6.41540	3.076100E-01	6.861173E-02	2.636609E-01
6.41550	3.052200E-01	6.748818E-02	2.611000E-01
6.41560	3.034700E-01	6.611139E-02	2.580019E-01
6.41570	2.972900E-01	6.438924E-02	2.541595E-01
6.41580	2.910500E-01	6.229921E-02	2.493188E-01
6.41590	2.882700E-01	5.991462E-02	2.431913E-01
6.41600	2.845900E-01	5.738654E-02	2.354786E-01
6.41610	2.799100E-01	5.488377E-02	2.259125E-01
6.41620	2.737700E-01	5.251760E-02	2.143048E-01
6.41630	2.701800E-01	5.028778E-02	2.005992E-01
6.41640	2.598800E-01	4.807655E-02	1.849151E-01
6.41650	2.492300E-01	4.569677E-02	1.675683E-01
6.41660	2.333300E-01	4.297732E-02	1.490605E-01
6.41670	2.122800E-01	3.985071E-02	1.300356E-01
6.41680	1.853100E-01	3.640127E-02	1.112060E-01
6.41690	1.503800E-01	3.284654E-02	9.326599E-02
6.41700	1.173200E-01	2.945684E-02	7.680805E-02
6.41710	8.776000E-02	2.645106E-02	6.225991E-02
6.41720	6.253000E-02	2.391813E-02	4.985335E-02
6.41730	4.954000E-02	2.179698E-02	3.962723E-02
6.41740	3.834000E-02	1.991793E-02	3.145896E-02
6.41750	3.342000E-02	1.808401E-02	2.511327E-02
6.41760	2.723000E-02	1.615790E-02	2.029538E-02
6.41770	2.518000E-02	1.411885E-02	1.669803E-02
6.41780	2.471000E-02	1.206490E-02	1.403599E-02
6.41790	2.007000E-02	1.016019E-02	1.206612E-02
6.41800	1.877000E-02	8.555413E-03	1.059471E-02
6.41810	1.845000E-02	7.321680E-03	9.475728E-03
6.41820	2.132000E-02	6.427361E-03	8.603892E-03
6.41830	2.305000E-02	5.761555E-03	7.905891E-03
6.41840	2.205000E-02	5.186438E-03	7.331862E-03
6.41850	2.538000E-02	4.592263E-03	6.848286E-03
6.41860	2.716000E-02	3.932540E-03	6.432609E-03
6.41870	2.428000E-02	3.227978E-03	6.069456E-03
6.41880	2.310000E-02	2.542060E-03	5.748095E-03
6.41890	2.187000E-02	1.943616E-03	5.460810E-03
6.41900	2.452000E-02	1.475572E-03	5.201874E-03
6.41910	2.375000E-02	1.142398E-03	4.966905E-03
6.41920	2.314000E-02	9.168676E-04	4.752466E-03
6.41930	2.633000E-02	7.578208E-04	4.555795E-03
6.41940	2.730000E-02	6.284230E-04	4.374643E-03
6.41950	2.192000E-02	5.073477E-04	4.207144E-03
6.41960	2.509000E-02	3.902460E-04	4.051736E-03
6.41970	2.891000E-02	2.836281E-04	3.907097E-03
6.41980	2.036000E-02	1.962021E-04	3.772100E-03
6.41990	2.977000E-02	1.325863E-04	3.645774E-03
6.42000	2.742000E-02	9.158785E-05	3.527280E-03
6.42010	2.561000E-02	6.805961E-05	3.415888E-03
6.42020	3.032000E-02	5.585038E-05	3.310957E-03
6.42030	2.964000E-02	4.989933E-05	3.211926E-03
6.42040	3.059000E-02	4.692596E-05	3.118295E-03
6.42050	3.230000E-02	4.516784E-05	3.029625E-03
6.42060	3.269000E-02	4.382053E-05	2.945521E-03
6.42070	3.449000E-02	4.257121E-05	2.865632E-03
6.42080	3.348000E-02	4.132278E-05	2.789643E-03
6.42090	3.779000E-02	4.006161E-05	2.717268E-03
6.42100	4.102000E-02	3.880096E-05	2.648251E-03
6.42110	4.411000E-02	3.755672E-05	2.582360E-03
6.42120	4.781000E-02	3.633703E-05	2.519385E-03
6.42130	4.904000E-02	3.514039E-05	2.459133E-03
6.42140	5.121000E-02	3.395935E-05	2.401428E-03
6.42150	5.342000E-02	3.278615E-05	2.346112E-03
6.42160	5.761000E-02	3.161690E-05	2.293037E-03
6.42170	5.783000E-02	3.045348E-05	2.242069E-03
6.42180	6.235000E-02	2.930375E-05	2.193084E-03
6.42190	6.349000E-02	2.817988E-05	2.145967E-03
6.42200	6.927000E-02	2.709466E-05	2.100613E-03
6.42210	7.360000E-02	2.605718E-05	2.056924E-03
6.42220	7.001000E-02	2.507051E-05	2.014811E-03
6.42230	7.750000E-02	2.413246E-05	1.974189E-03
6.42240	7.519000E-02	2.323838E-05	1.934981E-03
6.42250	7.557000E-02	2.238341E-05	1.897114E-03
6.42260	7.515000E-02	2.156334E-05	1.860520E-03
6.42270	6.933000E-02	2.077441E-05	1.825137E-03
6.42280	6.632000E-02	2.001309E-05	1.790906E-03
6.42290	6.268000E-02	1.927616E-05	1.757772E-03
6.42300	5.033000E-02	1.856102E-05	1.725682E-03
6.42310	4.655000E-02	1.786574E-05	1.694590E-03
6.42320	4.061000E-02	1.718893E-05	1.664449E-03
6.42330	3.535000E-02	1.652939E-05	1.635217E-03
6.42340	2.472000E-02	1.588590E-05	1.606853E-03
6.42350	1.978000E-02	1.525720E-05	1.579321E-03
6.42360	1.858000E-02	1.464218E-05	1.552584E-03
6.42370	1.045000E-02	1.404008E-05	1.526610E-03
6.42380	1.119000E-02	1.345062E-05	1.501366E-03
6.42390	8.180000E-03	1.287389E-05	1.476822E-03
6.42400	8.460000E-03	1.231002E-05	1.452951E-03
6.42410	8.040000E-03	1.175893E-05	1.429725E-03
6.42420	8.310000E-03	1.122018E-05	1.407119E-03
6.42430	6.340000E-03	1.069301E-05	1.385109E-03
6.42440	3.150000E-03	1.017633E-05	1.363673E-03
6.42450	5.830000E-03	9.668876E-06	1.342788E-03
6.42460	4.200000E-03	9.169201E-06	1.322434E-03
6.42470	6.170000E-03	8.675845E-06	1.302592E-03
6.42480	8.850000E-03	8.187603E-06	1.283243E-03
6.42490	4.730000E-03	7.703884E-06	1.264369E-03
6.42500	7.790000E-03	7.225013E-06	1.245954E-03
6.42510	6.870000E-03	6.752275E-06	1.227981E-03
6.42520	6.170000E-03	6.287553E-06	1.210435E-03
6.42530	6.690000E-03	5.832622E-06	1.193302E-03
6.42540	4.430000E-03	5.388408E-06	1.176567E-03
6.42550	3.350000E-03	4.954665E-06	1.160217E-03
6.42560	4.610000E-03	4.530350E-06	1.144240E-03
6.42570	2.650000E-03	4.114594E-06	1.128623E-03
6.42580	2.570000E-03	3.707775E-06	1.113355E-03
6.42590	3.620000E-03	3.312093E-06	1.098424E-03
6.42600	1.630000E-03	2.931238E-06	1.083820E-03
6.42610	-1.450000E-03	2.569269E-06	1.069533E-03
6.42620	-5.361640E-04	2.229217E-06	1.055552E-03
6.42630	3.720000E-03	1.912144E-06	1.041868E-03
