HAT_type,barrier_kcal_per_mol
other,27.878995
other,33.580104
other,31.838374
other,35.030261
other,39.908131
other,36.381147
other,34.405739
other,36.155684
other,33.517551
other,35.496454
other,39.237213
other,35.202574
other,35.423082
other,33.041354
other,35.473778
other,35.955474
other,35.223726
other,32.664168
other,36.997277
other,31.899755
other,23.675070
other,39.157737
other,36.755669
other,26.325645
other,29.016644
other,24.790283
other,29.221850
other,24.563341
other,26.221584
other,30.119652
other,29.727614
other,38.148373
other,31.835598
other,24.339657
other,24.846092
other,32.198153
other,32.022920
other,26.552583
other,29.994606
other,32.613090
other,32.211116
other,32.153261
other,22.189028
other,35.901923
other,26.509670
other,38.194378
other,37.476610
other,31.463215
other,21.673495
other,36.513089
other,34.608736
other,21.706250
other,29.401350
other,33.375441
other,35.224511
other,37.920684
other,36.095695
other,36.168556
other,28.642042
other,26.252952
other,28.512231
other,37.233349
other,37.283886
other,32.367048
other,31.252202
other,27.984440
other,35.018185
other,22.871693
other,34.170854
other,32.093777
other,36.434893
other,35.156071
other,27.637333
other,26.829093
other,31.980165
other,31.900250
other,37.114454
other,35.016293
other,32.439815
other,34.949750
other,32.486739
other,31.771982
other,38.449476
other,31.517018
other,29.481258
other,34.609422
other,38.576885
other,35.286053
other,31.026598
other,39.440414
other,36.144550
other,39.134702
other,29.500138
other,30.976814
other,34.690586
other,37.712955
other,34.466017
other,33.693250
other,36.648121
other,33.497201
other,38.452905
other,35.130980
other,37.735822
other,32.712913
other,33.154463
other,37.612058
other,28.625531
other,34.610807
other,22.811743
other,38.948289
other,38.228900
other,29.872089
other,35.382312
other,36.347737
other,32.386783
other,31.846787
other,37.246007
other,36.436048
other,33.050519
other,32.353435
other,36.307095
other,32.731505
other,29.279246
other,36.605380
other,37.244133
other,38.445478
other,34.634748
other,34.515567
other,30.692083
other,33.675159
other,32.961266
other,33.652810
other,36.590509
other,34.620027
other,40.003433
other,29.574886
other,36.239133
other,38.640125
other,26.150291
other,29.351470
other,34.986215
other,19.805714
other,19.263339
other,21.071572
other,29.213381
other,35.077203
other,24.048100
other,34.399483
other,36.181935
other,29.189532
other,31.333043
other,31.487851
other,35.975737
other,30.140820
other,39.518692
other,38.173919
other,37.769375
other,35.920894
other,35.805225
other,31.755214
other,34.392761
other,34.828602
other,38.536197
other,33.184300
other,37.681325
other,35.406682
other,32.977415
other,32.299996
other,36.327162
other,25.538166
other,35.555580
other,29.864052
other,37.507118
other,34.613771
other,30.126866
other,32.285305
other,35.433104
other,30.667579
other,34.515019
other,36.672937
other,33.103280
other,39.890026
other,36.734124
other,32.522480
other,36.889774
other,34.041319
other,39.336193
other,35.749794
other,36.945102
other,32.140236
other,33.678272
other,38.869739
other,36.539451
other,32.083834
other,32.969128
other,20.494967
other,33.607113
other,33.904372
other,32.959624
other,34.782927
other,28.099971
other,33.985790
other,38.782398
other,37.509174
other,35.512989
other,36.027483
other,30.091575
other,24.795433
other,28.993260
other,36.640655
other,29.202458
other,32.339062
other,32.434505
other,30.455245
other,36.326921
other,35.185941
other,34.874500
other,30.363773
other,34.123706
other,31.707065
other,34.749958
other,25.958372
other,19.125414
other,36.733753
other,26.868043
other,34.433621
other,33.195194
other,28.792224
other,31.854184
other,37.430103
other,34.895995
other,37.251497
other,35.937569
other,32.534355
other,28.513598
other,35.672210
other,33.865899
other,31.725415
other,34.504430
other,33.870036
other,38.390404
other,35.998945
other,34.350370
other,32.019939
other,33.185528
other,35.173444
other,33.448320
other,32.512264
other,33.299008
other,32.335796
other,34.780353
other,34.711688
other,33.500135
other,31.830890
other,30.061394
other,33.542751
other,29.791703
other,38.844850
other,31.851637
other,36.676080
other,33.212548
other,33.095436
other,33.081234
other,37.118102
other,27.587796
other,38.415081
other,37.258629
other,32.780664
other,33.504308
other,30.413511
other,37.501050
other,38.375878
other,27.966940
other,33.497508
other,36.201281
other,27.152962
other,33.657870
other,39.891873
other,34.700829
other,35.053569
other,34.318119
other,20.840452
other,28.890617
other,38.353832
other,32.032879
other,27.441952
other,32.178179
other,32.106983
other,32.728335
other,20.496790
other,30.624242
other,27.763668
other,31.684384
other,36.231212
other,19.677406
other,35.379212
other,26.853943
other,31.750957
other,17.281521
other,23.237212
other,35.322788
other,23.954435
other,20.846138
other,24.191379
other,28.519824
other,32.269428
other,32.659295
other,34.943453
other,31.570561
other,31.262859
other,30.459727
other,31.816126
other,31.263853
other,36.683689
other,31.670639
other,33.052272
other,30.859969
other,31.578003
other,38.543472
other,16.033030
other,25.290207
other,34.692412
other,29.605656
other,32.149163
other,37.526376
other,33.796146
other,31.166436
other,35.209926
other,32.326934
other,38.182797
other,34.755748
other,29.570063
other,31.926456
other,37.963966
other,29.574845
other,27.240134
other,21.985085
other,25.683796
other,25.790721
other,35.251203
other,25.796821
